Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
RBM3	IS1-RNPL	ENSG00000102317	RNA binding motif (RNP1, RRM) protein 3	X	48574449-48579066	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA003624, CAB062559	Enhanced		Enhanced	Nucleoplasm	Colorectal cancer:3.07e-7 (favourable)	Expressed in all	Expressed in all			breast: 237.2	Expressed in all		
NOL11	DKFZP586L0724	ENSG00000130935	Nucleolar protein 11	17	67717833-67744531	Predicted intracellular proteins	Evidence at protein level	HPA022010	Supported		Enhanced	Nucleoli	Colorectal cancer:1.00e-6 (favourable), Liver cancer:2.59e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 25.5	Expressed in all		
USP53	KIAA1350	ENSG00000145390	Ubiquitin specific peptidase 53	4	119212587-119295517	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA035844, HPA035845	Uncertain		Approved	Nucleoplasm<br>Golgi apparatus	Renal cancer:3.58e-8 (favourable), Colorectal cancer:3.15e-6 (favourable), Prostate cancer:7.54e-6 (unfavourable)	Expressed in all	Mixed			fallopian tube: 48.8	Cell line enhanced		BJ hTERT+: 265.8;SK-MEL-30: 79.9
TEX2	HT008, KIAA1738, TMEM96	ENSG00000136478	Testis expressed 2	17	64147227-64263301	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA020648, HPA057116	Approved		Approved	Nucleus	Colorectal cancer:3.90e-6 (favourable)	Expressed in all	Expressed in all			testis: 99.6	Expressed in all		
HOOK1	HK1	ENSG00000134709	Hook microtubule tethering protein 1	1	59814786-59876378	Predicted intracellular proteins	Evidence at protein level	HPA018537, HPA018820	Enhanced				Colorectal cancer:4.53e-6 (favourable), Head and neck cancer:4.42e-4 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 55.2	testis: 30.1	Cell line enhanced		EFO-21: 32.6;RPTEC TERT1: 24.3
ZYG11B	FLJ13456, ZYG11	ENSG00000162378	Zyg-11 family member B, cell cycle regulator	1	52726467-52827342	Predicted intracellular proteins	Evidence at protein level	HPA028156	Uncertain		Approved	Golgi apparatus<br>Intermediate filaments	Renal cancer:9.80e-7 (favourable), Colorectal cancer:5.42e-6 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 29.0	Expressed in all		
HSPA8	HSC70, HSC71, HSP73, HSPA10	ENSG00000109971	Heat shock protein family A (Hsp70) member 8	11	123057489-123063230	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002056, HPA052504	Uncertain		Approved	Nucleoplasm<br>Vesicles	Colorectal cancer:6.14e-6 (favourable), Liver cancer:1.93e-4 (unfavourable), Renal cancer:3.81e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 1119.0	Expressed in all		
DLAT	DLTA, PDC-E2	ENSG00000150768	Dihydrolipoamide S-acetyltransferase	11	112024814-112064390	Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB003782, HPA040786, HPA062766	Enhanced		Enhanced	Mitochondria	Renal cancer:1.95e-14 (favourable), Colorectal cancer:6.19e-6 (favourable), Liver cancer:7.49e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 31.0	Expressed in all		
SORT1	Gp95, NT3	ENSG00000134243	Sortilin 1	1	109309568-109397951	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA006889, CAB011498	Approved		Approved	Golgi apparatus<br>Plasma membrane<br>Cytosol	Colorectal cancer:7.74e-6 (favourable), Liver cancer:1.23e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 169.5	Mixed		
DDX46	FLJ25329, KIAA0801, Prp5, PRPF5	ENSG00000145833	DEAD-box helicase 46	5	134758771-134855133	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA036554, HPA057501	Supported		Enhanced	Nuclear speckles	Colorectal cancer:9.01e-6 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 36.4	Expressed in all		
FBXO7	Fbx, FBX7, PARK15	ENSG00000100225	F-box protein 7	22	32474676-32498829	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA032113, HPA032114, CAB034296	Uncertain		Supported	Nucleus<br>Cytosol	Renal cancer:2.66e-10 (favourable), Colorectal cancer:1.08e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 225.1	Expressed in all		
ABCD3	PMP70, PXMP1, ZWS2	ENSG00000117528	ATP binding cassette subfamily D member 3	1	94418455-94518666	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA032026, HPA032027, CAB032516, CAB075749	Enhanced		Enhanced	Peroxisomes	Colorectal cancer:1.16e-5 (favourable), Renal cancer:4.84e-5 (favourable)	Expressed in all	Expressed in all			liver: 66.4	Expressed in all		
NGLY1	FLJ11005, PNG1	ENSG00000151092	N-glycanase 1	3	25718944-25790039	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA036825	Approved				Liver cancer:1.96e-6 (unfavourable), Colorectal cancer:1.17e-5 (favourable)	Expressed in all	Expressed in all			testis: 116.0	Expressed in all		
PARS2	DKFZp727A071	ENSG00000162396	Prolyl-tRNA synthetase 2, mitochondrial (putative)	1	54756898-54764514	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA028308, HPA028314, HPA028518	Uncertain		Approved	Nucleoli fibrillar center<br>Mitochondria	Renal cancer:1.24e-6 (favourable), Colorectal cancer:1.26e-5 (favourable), Liver cancer:2.34e-4 (unfavourable)	Expressed in all	Mixed			testis: 8.0	Mixed		
