Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
LRCH4	LRN, LRRN1	ENSG00000077454	Leucine rich repeats and calponin homology domain containing 4	7	100574011-100586153	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA037667, HPA037668	Enhanced		Approved	Nucleoplasm<br>Focal adhesion sites<br>Cytosol	Colorectal cancer:1.61e-7 (unfavourable)	Expressed in all	Expressed in all			spleen: 105.8	Expressed in all		
POFUT2	C21orf80, FUT13, KIAA0958	ENSG00000186866	Protein O-fucosyltransferase 2	21	45263928-45287898	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA044297	Uncertain				Renal cancer:8.66e-12 (unfavourable), Colorectal cancer:4.55e-7 (unfavourable), Liver cancer:2.78e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 24.3	Expressed in all		
CLK3	clk3	ENSG00000179335	CDC like kinase 3	15	74598500-74645414	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA046817	Approved		Supported	Nucleoplasm<br>Intermediate filaments	Colorectal cancer:2.05e-6 (unfavourable), Prostate cancer:5.92e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 71.7	Expressed in all		
EGFL7	ZNEU1	ENSG00000172889	EGF like domain multiple 7	9	136658856-136672678	Predicted secreted proteins	Evidence at protein level	HPA050716	Approved				Colorectal cancer:4.22e-6 (unfavourable), Renal cancer:5.28e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 263.7	Cell line enhanced		EFO-21: 172.9;HUVEC TERT2: 276.0;TIME: 254.4
DPP7	DPP2, DPPII	ENSG00000176978	Dipeptidyl peptidase 7	9	137110542-137115177	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021282, CAB025541, HPA059381	Supported		Enhanced	Golgi apparatus<br>Vesicles	Colorectal cancer:6.07e-6 (unfavourable), Pancreatic cancer:8.31e-5 (favourable)	Expressed in all	Expressed in all			adrenal gland: 70.7	Mixed		
HSH2D	ALX, FLJ14886, HSH2	ENSG00000196684	Hematopoietic SH2 domain containing	19	16134028-16158575	Predicted intracellular proteins	Evidence at protein level	HPA036616			Approved	Plasma membrane<br>Focal adhesion sites<br>Cytosol	Renal cancer:6.49e-6 (unfavourable), Colorectal cancer:9.46e-6 (unfavourable), Urothelial cancer:3.47e-5 (favourable)	Mixed	Mixed			tonsil: 32.7	Cell line enhanced		HMC-1: 49.9;NB-4: 88.6;RPMI-8226: 43.5;U-937: 106.3
ASB6		ENSG00000148331	Ankyrin repeat and SOCS box containing 6	9	129634604-129642169	Predicted intracellular proteins	Evidence at protein level	HPA004341	Approved				Colorectal cancer:1.06e-5 (unfavourable), Liver cancer:2.40e-5 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 22.7	Expressed in all		
SPAG4	CT127, SUN4	ENSG00000061656	Sperm associated antigen 4	20	35615892-35621049	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA048393, HPA061789	Approved				Endometrial cancer:9.52e-8 (favourable), Colorectal cancer:1.09e-5 (unfavourable), Glioma:8.89e-5 (unfavourable), Renal cancer:1.28e-4 (unfavourable), Urothelial cancer:6.66e-4 (favourable)	Expressed in all	Mixed			testis: 22.5	Cell line enhanced		EFO-21: 25.0;U-87 MG: 46.8
EXOC3L4	C14orf73	ENSG00000205436	Exocyst complex component 3 like 4	14	103100144-103110559	Predicted intracellular proteins	Evidence at protein level	HPA043661	Approved				Colorectal cancer:1.43e-5 (unfavourable)	Tissue enhanced	Tissue enhanced		duodenum: 19.2	small intestine: 10.7	Cell line enhanced		HDLM-2: 3.5;HEL: 3.4;Hep G2: 1.8;RPMI-8226: 1.8
HSPA1A	HSP70-1, HSPA1	ENSG00000204389	Heat shock protein family A (Hsp70) member 1A	6	31815464-31817946	Predicted intracellular proteins	Evidence at protein level	CAB017451, CAB032815, HPA052504	Supported		Approved	Nucleoplasm<br>Vesicles	Colorectal cancer:1.54e-5 (unfavourable)	Expressed in all	Mixed			adrenal gland: 49.9	Cell line enriched	10	HEK 293: 3834.6
